Database,Module,Pathway,pvalue,pvalue_adj,NumberOfOverlap,NumberOfGenesInPathway,Odds.Ratio,Combined.Score,Genes
56000,GO_Biological_Process_2021,16,cellular macromolecule biosynthetic process (GO:0034645),2.72439121560581e-15,1.61549035865923e-13,24,314,9.85130361648444,330.378553054049,RPL4;RPL30;RPL41;RPL32;MRPS14;RPL23;RPLP1;RPL13A;RPL23A;RPL8;PTMS;RPS15;RPS4X;RPS25;RPL14;RPL35;RPLP2;RPL38;RPS20;NT5M;RPL15;RPS27A;RPS23;RPL19
56001,GO_Biological_Process_2021,16,rRNA processing (GO:0006364),3.43489474254084e-15,1.98319975398279e-13,19,173,14.3511104280335,477.960720684715,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPL15;UBA52;RPL19
71595,Reactome_2016,15,Eukaryotic Translation Elongation Homo sapiens R-HSA-156842,2.23642919145025e-16,4.88436135412734e-13,16,89,24.8615965989608,895.924453591039,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;EEF1A1;EEF1D;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
41907,GWAS_Catalog_2019,9,Obesity-related traits,6.81856817978691e-16,1.25393468826281e-12,52,804,4.28292640390652,149.567122319055,DPP10;RYR2;CNTNAP2;GABRB1;GALNT13;AATK;GRIK2;SGCD;DLGAP1;PRKG1;ANKS1B;RGS7;RBFOX1;EPHA6;DCC;CACNA2D1;PDE4D;MAGI2;MTUS2;UNC5C;ENAH;CACNB2;GPRC5B;NRG3;LRRC7;PRKD1;NTM;NREP;PDZD2;CDH20;SPOCK3;CTNNA3;GPC5;CSMD1;GPC6;DYNC1I1;LINGO2;PTPRN2;CNTN5;SYT1;PCDH7;KCNIP4;SORBS1;SGCZ;DCLK1;TTLL7;PTPRD;FAM155A;DLC1;ZNF536;MDGA2;FBXL7
56002,GO_Biological_Process_2021,16,ribosome biogenesis (GO:0042254),2.36881136728837e-14,1.33260824098223e-12,19,192,12.7626295447549,400.412225167643,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPL15;UBA52;RPL19
71596,Reactome_2016,15,Peptide chain elongation Homo sapiens R-HSA-156902,2.21302014080414e-15,2.41661799375812e-12,15,84,24.5229813664596,827.513739543789,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;EEF1A1;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
56003,GO_Biological_Process_2021,16,ncRNA processing (GO:0034470),5.48724371227551e-14,3.00975317618312e-12,19,201,12.1259509721048,370.250940154785,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS25;EXOSC9;RPL14;RPL35;RPLP2;RPL38;RPL15;UBA52;RPL19
57193,Reactome_2016,16,Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291,1.05567269450761e-13,5.64913632134074e-12,23,335,8.71212121212121,260.313198659661,RPL4;RPL30;RPL41;RPL32;RPL23;RPLP1;RPL13A;RPL23A;RPL8;RPS15;RPS4X;RPS25;PSMD3;RPL14;RPL35;RPLP2;RPL38;RPS20;RPL15;RPS27A;UBA52;RPS23;RPL19
70293,GO_Biological_Process_2021,15,cytoplasmic translation (GO:0002181),1.0837171285956e-14,7.88946069617597e-12,15,93,21.6835164835165,697.25069757542,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;DRG1;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70294,GO_Biological_Process_2021,15,translation (GO:0006412),1.75920731323533e-14,9.60527193026492e-12,20,214,11.8956943602183,376.752437686197,HBS1L;RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;QRSL1;MRPS5;EEF1A1;EEF1D;RPL37A;RPS3;DRG1;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70295,GO_Biological_Process_2021,15,protein targeting to ER (GO:0045047),5.21577891822599e-14,1.74967862885083e-11,15,103,19.2097402597403,587.520355981117,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;SPCS3;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70296,GO_Biological_Process_2021,15,gene expression (GO:0010467),5.60794432323985e-14,1.74967862885083e-11,24,356,8.48221802874147,258.809496549856,NDC1;HBS1L;RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;MRPS5;EEF1A1;RBM4;HNRNPF;RPL37A;RPS3;DRG1;SRSF3;RPL13;MMS19;RPL37;RPS2;RPS11;RPL28;PTMA;RPS24
71597,Reactome_2016,15,Viral mRNA Translation Homo sapiens R-HSA-192823,5.33817386905449e-14,1.74967862885083e-11,14,84,22.4318181818182,685.54569726554,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71598,Reactome_2016,15,Translation Homo sapiens R-HSA-72766,8.1404231375093e-14,1.85054722720841e-11,17,151,14.4289534984039,434.879267224161,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;EEF1A1;SPCS3;EEF1D;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71599,Reactome_2016,15,Selenocysteine synthesis Homo sapiens R-HSA-2408557,8.87488471857921e-14,1.85054722720841e-11,14,87,21.5066936488169,646.339932056068,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71600,Reactome_2016,15,Eukaryotic Translation Termination Homo sapiens R-HSA-72764,8.87488471857921e-14,1.85054722720841e-11,14,87,21.5066936488169,646.339932056068,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71601,Reactome_2016,15,SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339,9.3205217487603e-14,1.85054722720841e-11,15,107,18.3708074534161,551.197205183587,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;SPCS3;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71602,Reactome_2016,15,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956,1.23189441105944e-13,2.24204782812818e-11,14,89,20.9310606060606,622.176886966379,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70297,GO_Biological_Process_2021,15,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),1.44683113028445e-13,2.43067629887787e-11,14,90,20.6546052631579,610.63751029603,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
71603,Reactome_2016,15,Selenoamino acid metabolism Homo sapiens R-HSA-2408522,1.62581045696579e-13,2.53626431286663e-11,15,111,17.6017857142857,518.330341034732,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;EPRS;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
4821,GO_Biological_Process_2021,5,protein phosphorylation (GO:0006468),1.76171203341558e-14,3.68021643780514e-11,60,496,3.49437002644287,110.666367539024,GSK3B;BMPR2;CCNH;LRRK2;PRKAG2;RPS6KA3;RPS6KA2;AKT3;ERC1;JAK2;MAP3K5;MAP2K1;PRKCH;CAMK1D;SYK;PRKCB;PRKCE;DYRK1A;ADAM10;PRKCA;IRAK3;TGFBR1;TGFBR2;HCK;PEAK1;BMP2K;SIK3;BIRC6;SGK3;TLR2;CSF1R;CAMK2D;USP15;ROCK1;CAB39;STK4;STK3;NUAK1;GRK3;MKNK1;FNIP2;MARK3;MAP4K4;LYN;SRPK2;MAP3K3;CDK19;BRAF;MERTK;PTK2;TBCK;FER;CDK6;TAOK3;WNK1;TAOK1;AAK1;PKN2;ATM;CDK13
8542,Reactome_2016,5,Immune System Homo sapiens R-HSA-168256,1.59230352776549e-14,3.68021643780514e-11,125,1547,2.31877094575701,73.6696939187723,CD86;CYFIP1;CSF3R;WIPF1;IRS2;IL1RAP;HERC4;RPS6KA3;HERC1;RPS6KA2;AKT3;PIP4K2A;MAP3K8;IL6R;MEF2A;MEF2C;MAP2K1;WSB1;PRKCB;PRKCE;SLC11A1;UBE2E1;AP1B1;UBE2E2;PRKCA;PIAS1;AKAP9;ELMO1;IL6ST;CARD11;CSF1R;MAPKAP1;NEDD4L;ITPR2;PIK3R1;RASAL2;FOXO3;PLD1;C3;RNF213;RAP1A;RNF216;INPP5D;PLCG2;NCKAP1L;NLRP1;ATG7;MARK3;PAG1;LYN;CREBBP;SMURF2;SMURF1;ZBTB16;LY86;MYO5A;NFATC2;BRAF;PTK2;PTPRC;BCL2;NF1;GRB2;TAB2;OSBPL1A;UBE2K;EIF4G3;GSK3B;CIITA;ITGAM;SH3KBP1;PTEN;ARRB1;PTPRJ;PPP3CA;SPRED1;BLNK;ARIH1;LRRFIP1;JAK2;CTSB;HAVCR2;HSP90AA1;SYK;IFNGR1;IFNGR2;IL18;IRAK3;GAB2;PPP2R5C;TNFRSF1B;VAV1;IL17RA;DNM2;LAT2;APBB1IP;RNF144B;HCK;PSMA1;RASA1;PELI1;RAPGEF1;RAPGEF2;LCP2;EVL;SOS1;RAB7A;TLR2;SP100;CAMK2D;PELI2;ADCY7;ZNRF2;IFI16;RNF130;WASF2;CD74;MAP3K3;STAT3;MYO9B;TRIP12;PIK3AP1;PTPN2;TNRC6A;TNRC6B
70298,GO_Biological_Process_2021,15,peptide biosynthetic process (GO:0043043),2.62462325745002e-13,3.68425173466919e-11,17,162,13.326888578832,386.062221963076,HBS1L;RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;MRPS5;EEF1A1;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70299,GO_Biological_Process_2021,15,cotranslational protein targeting to membrane (GO:0006613),2.69908551990417e-13,3.68425173466919e-11,14,94,19.6178977272727,567.755559150239,RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;RPL37A;RPS3;RPL13;RPL37;RPS2;RPS11;RPL28;RPS24
70300,GO_Biological_Process_2021,15,cellular macromolecule biosynthetic process (GO:0034645),3.10000661351931e-13,3.98259673172128e-11,22,314,8.75318003913894,252.110859314887,HBS1L;RPS9;RPL10;RPL31;RPS8;RPS6;RPL11;MRPS5;EEF1A1;KIN;EEF1D;RPL37A;RPS3;DRG1;RPL13;MMS19;RPL37;RPS2;RPS11;RPL28;PTMA;RPS24
